param_set,Nb,N,u_per_site,Gs,n_shared_mutations
10108_rep0,477,569477016,7.882667368309794e-09,8920,44
1010_rep0,31,1154675926,7.837063974208282e-09,6182,8
10110_rep0,85,4210078958,3.372169472419346e-09,5385,5
10111_rep0,5,272276378,2.466415585900239e-09,4729,1
10112_rep0,426,268882656,5.641635664332898e-09,6255,41
10113_rep0,27,4122402863,1.3718941058066412e-09,3819,3
10114_rep0,75,1585622852,4.3306820453516706e-09,9519,3
10115_rep0,4,581915882,1.8033364522931523e-09,585,3
10116_rep0,9,458072573,3.789496766656153e-09,1728,2
10117_rep0,266,2241689839,2.9269052171482477e-09,8338,16
10118_rep0,1,9265716584,9.198011366984544e-09,2832,5
10119_rep0,46,106531515,1.2167498689257447e-09,7282,2
1011_rep0,2,994981631,1.0708519651833616e-09,3903,2
10120_rep0,1,177787518,5.384662242630848e-09,7594,4
10121_rep0,69,6461991201,2.213438146060128e-09,2529,1
10122_rep0,6,2399373791,7.074209157825445e-09,6807,5
10123_rep0,389,371015873,1.7000235352702875e-09,3287,7
10124_rep0,128,958063680,8.614972266810064e-09,4623,22
10125_rep0,3,1110886978,1.1149003968232754e-09,5510,1
10126_rep0,713,4432568417,3.57927452100927e-09,1038,42
10127_rep0,17,214848335,2.7076996387790803e-09,9047,1
10128_rep0,57,186547304,3.2777427187999222e-09,3093,2
10129_rep0,1,5133877138,2.3827174311091307e-09,7001,4
1012_rep0,23,383906850,6.615304071056125e-09,2760,2
10130_rep0,322,1285219953,7.589585777468757e-09,1408,18
10132_rep0,2,320785233,6.961968025937637e-09,9704,5
10133_rep0,146,2765777687,1.6074922886313967e-09,380,3
10134_rep0,14,7440380983,5.0972607609894465e-09,5857,3
10135_rep0,818,153546609,2.1758908129486728e-09,4276,26
10136_rep0,21,123381760,9.3521222799362e-09,855,1
10137_rep0,574,8045290307,1.2859881916828243e-09,9248,5
10138_rep0,3,1944249413,4.000600240019577e-09,5019,2
10139_rep0,100,529923602,2.9793186161897013e-09,5056,4
1013_rep0,630,2480672096,1.5602354545283502e-09,7363,10
10140_rep0,208,670740875,4.7314511205502015e-09,6548,8
10141_rep0,13,1370992647,2.048268073689441e-09,3566,3
10142_rep0,36,3560338574,6.400745464512014e-09,7912,4
10144_rep0,5,276204253,4.392884403721976e-09,4382,1
10145_rep0,348,3175842901,1.9099027439186424e-09,5731,8
10146_rep0,1,1516085048,5.942416375651296e-09,177,3
10147_rep0,61,741882696,1.399234483087237e-09,9888,1
10148_rep0,771,505682499,8.721551138192803e-09,8589,128
10149_rep0,18,1855703842,1.193794093515941e-09,1514,1
1014_rep0,4,6220535622,4.8982913206879315e-09,1664,3
10150_rep0,136,8243642276,3.731054495492372e-09,7184,8
10151_rep0,3,126396878,2.765581743936745e-09,2890,2
10152_rep0,88,136971398,7.497386890384323e-09,1970,18
10153_rep0,5,6639509434,1.7232602069309556e-09,8115,3
10154_rep0,489,3058866750,5.489754254028877e-09,3692,33
10155_rep0,30,354655338,2.3323886548566392e-09,6442,3
10157_rep0,43,1226490080,2.5655912619086132e-09,4835,3
10158_rep0,9,5258168794,8.136563038220582e-09,9142,6
10159_rep0,239,191130144,1.0981884393954435e-09,981,1
1015_rep0,111,171097614,2.1261841934643834e-09,8430,3
10160_rep0,4,221308378,7.998513299231016e-09,7408,4
10161_rep0,112,4566814182,1.0395861793286202e-09,2725,2
10162_rep0,23,1064026174,3.322978266352927e-09,8154,1
10163_rep0,625,917455022,2.5249210028432943e-09,1931,18
10164_rep0,32,408928344,5.0215992614253345e-09,478,6
10165_rep0,2,2643994849,2.0547541443586103e-09,9644,1
10166_rep0,177,5732625859,6.597575390703335e-09,4022,5
10168_rep0,304,109779409,4.080932478284764e-09,8843,13
10169_rep0,7,9544883674,3.137694021752075e-09,1222,2
1016_rep0,2,102983218,9.755457820202526e-09,6871,5
10170_rep0,53,2146178344,9.90626552831736e-09,5616,10
10171_rep0,1,438708179,1.3042627775467767e-09,4498,1
10172_rep0,16,641281393,6.0487568253619965e-09,3471,2
10173_rep0,934,1747992167,1.477187234079455e-09,6604,8
10174_rep0,2,3657536543,4.642792230261063e-09,2403,4
10176_rep0,3,246334333,3.7042328481552435e-09,1333,1
10177_rep0,121,3809978422,2.811471124847805e-09,8800,4
10178_rep0,17,1693245990,8.916356667503836e-09,4560,1
10179_rep0,678,615282454,1.157549064038014e-09,5524,10
1017_rep0,166,8959548028,1.3128888826064846e-09,3194,2
10180_rep0,73,425504008,5.9268500929666405e-09,6706,5
10182_rep0,412,9846697869,4.511014619157647e-09,7773,36
10183_rep0,6,114210823,1.843803927454263e-09,2321,2
10184_rep0,251,162832604,8.271578594399219e-09,2614,19
10185_rep0,10,5973935543,1.0902942868818271e-09,7451,1
10186_rep0,44,2560070199,3.407577330770757e-09,1868,5
10187_rep0,1,392620558,2.622894904243052e-09,8245,1
10188_rep0,26,889196032,5.555646376672032e-09,9543,3
10189_rep0,448,1022603388,2.32627781701339e-09,532,12
1018_rep0,16,2328050552,4.20130498463695e-09,7666,2
10190_rep0,4,4709176444,7.237917197557711e-09,5999,2
10192_rep0,12,199207279,6.6243841499522794e-09,8052,2
10193_rep0,219,5428295564,1.5581010280478263e-09,2062,2
10194_rep0,2,1177432230,4.897101577425418e-09,6330,4
10195_rep0,38,767957722,2.1267134068990406e-09,3735,1
10196_rep0,542,340902090,3.351656638915742e-09,4763,17
10197_rep0,22,2965121497,2.481505154017386e-09,5341,2
10198_rep0,95,6911438905,7.834562301954608e-09,879,4
10199_rep0,4,141223733,1.0711874878640216e-09,9196,1
1019_rep0,922,476116346,3.0760886804859754e-09,2448,42
101_rep0,41,1937571203,1.4820443226976024e-09,5701,1
10200_rep0,154,131643976,4.584058435401378e-09,5794,1
10201_rep0,2,8513849347,1.9498029918227383e-09,4290,3
10202_rep0,866,1780690253,6.260593642028345e-09,9999,97
10203_rep0,13,489904430,1.4405648420716344e-09,133,3
10204_rep0,1,712603554,9.735932043103541e-09,1587,7
10205_rep0,54,1470220269,1.3155198316582278e-09,8508,1
10206_rep0,8,3304443823,4.2049818323657214e-09,2992,2
10207_rep0,306,284973369,3.0733772697418246e-09,7132,15
10208_rep0,40,297530013,9.078725682091856e-09,9321,9
1020_rep0,54,601617137,4.592921461431229e-09,1112,3
10210_rep0,228,1427324959,3.920925478800107e-09,5158,10
10211_rep0,9,691664451,2.8534561983681123e-09,4966,2
10212_rep0,5,552247839,4.255197156726824e-09,3628,5
10213_rep0,92,2006864527,1.818432773670996e-09,6456,4
10214_rep0,29,7724610709,5.81176357251086e-09,2265,5
10215_rep0,518,119466080,1.3434343031254967e-09,7868,7
10216_rep0,19,147505503,3.5927198217725943e-09,6929,2
10217_rep0,729,7216338528,2.6725826956177827e-09,3176,21
10218_rep0,3,2877356201,8.398789993591166e-09,8614,3
10219_rep0,129,330927540,1.1535683241762754e-09,1461,1
10220_rep0,366,865543573,7.1334326830249434e-09,317,29
10222_rep0,64,4925722395,5.272954583763174e-09,4164,2
10223_rep0,1,180700576,2.280185135265093e-09,5900,1
10224_rep0,982,208353522,5.1806229417377445e-09,2428,125
10225_rep0,15,4257646697,2.15970316035972e-09,7648,2
10226_rep0,173,1146190132,6.7489794325320314e-09,3215,23
10227_rep0,2,996873238,1.6429750596402087e-09,6889,2
10229_rep0,287,2499036305,1.0168343860761863e-09,4667,3
1022_rep0,301,3967177709,6.255514061389479e-09,4685,40
10230_rep0,1,6260456528,3.1632834799466543e-09,8983,2
10231_rep0,51,170605826,2.4460452200000096e-09,1130,2
10232_rep0,1,103266071,6.353130873744872e-09,3921,3
10233_rep0,33,8906213778,1.5250654324896123e-09,6202,2
10234_rep0,10,2311256135,4.835888156096887e-09,658,1
10235_rep0,188,476818330,1.985603805829454e-09,9437,5
10236_rep0,105,600731097,3.988883080019583e-09,8449,3
10237_rep0,4,1652621993,3.0140925566194643e-09,1684,1
10238_rep0,594,3990937106,9.600687220946086e-09,7345,72
10239_rep0,24,258124617,1.241082122054395e-09,2740,1
1023_rep0,7,258833435,1.441724389463995e-09,5419,1
10240_rep0,2,257754863,5.14686847362391e-09,9618,3
10241_rep0,156,3987772041,2.1549992433751732e-09,457,4
10242_rep0,13,1654077133,6.7655827360752144e-09,6079,7
10243_rep0,878,601561811,1.6542077384524442e-09,4025,19
10244_rep0,56,476172392,7.662556240354616e-09,2694,4
10245_rep0,1,2309242981,1.0100710963093734e-09,7371,1
10246_rep0,318,8913518062,3.185373563963316e-09,1943,10
10247_rep0,8,103415123,2.4517303144617077e-09,8171,2
10248_rep0,210,170453680,6.340181088319532e-09,6626,16
10249_rep0,12,6251831876,1.5149151151785956e-09,3498,1
1024_rep0,121,258977498,9.78481437427791e-09,9818,21
10250_rep0,37,2502607472,4.8696370103757185e-09,7698,1
10251_rep0,2,383487756,1.990209976783266e-09,2396,2
10252_rep0,21,996059620,3.962910909811871e-09,1258,3
10253_rep0,535,1144524305,3.0075409937806486e-09,8875,13
10254_rep0,3,4263483135,9.624348214254118e-09,4481,5
10255_rep0,94,208534016,1.2495726035346042e-09,5604,1
10256_rep0,10,180861235,9.101060286315504e-09,1507,6
10257_rep0,254,4932489532,1.2296709802292967e-09,8587,1
10258_rep0,1,1325625970,3.895378665351031e-09,2917,5
10259_rep0,45,864849724,2.8472413092901107e-09,7206,3
10260_rep0,466,331195922,4.284912302638268e-09,5719,21
10261_rep0,26,2881533642,1.8226591410010565e-09,4365,2
10262_rep0,82,7206501853,5.799942770189605e-09,9919,6
10264_rep0,116,119637825,3.6177928743240887e-09,4838,3
10265_rep0,3,7730782523,2.6787825548236836e-09,5266,4
10266_rep0,651,2005092838,8.381670333388372e-09,959,64
10267_rep0,17,551482310,1.1458905457273779e-09,9116,2
10268_rep0,1,692606272,7.1510132245948605e-09,8131,4
10269_rep0,72,1428573490,1.681820274661666e-09,1982,1
1026_rep0,676,1647164989,4.188257818674968e-09,5976,51
10270_rep0,6,3447939153,5.238621556274697e-09,6405,4
10271_rep0,407,297100307,2.275228786524639e-09,3660,13
10272_rep0,35,284587027,6.667799113492803e-09,397,4
10273_rep0,1,3301569432,1.561495161931816e-09,9716,1
10274_rep0,196,1471427561,4.8850622907046195e-09,4239,14
10276_rep0,4,489203165,3.358502379390464e-09,7004,1
10277_rep0,107,1779275978,2.4981318709006167e-09,3101,1
