param_set,Nb,N,u_per_site,Gs,n_shared_mutations
15777_rep0,11,3217991552,1.3075060375667702e-09,1045,1
15778_rep0,33,1537069814,4.072150846905263e-09,5507,2
15779_rep0,1,745023787,3.1452201808624644e-09,4617,3
1577_rep0,44,6957654547,2.448699682759102e-09,296,5
15780_rep0,24,512699805,4.653867122116996e-09,3284,2
15781_rep0,596,1863495061,1.937913420972128e-09,6800,14
15782_rep0,4,8282908376,6.062653055165472e-09,2532,1
15783_rep0,105,128078855,1.4742739750058911e-09,7601,2
15784_rep0,2,137553745,3.3307147837704036e-09,7275,2
15785_rep0,174,6731527969,2.519664763766061e-09,2829,9
15786_rep0,15,3099517411,8.016712694824332e-09,8344,4
15787_rep0,979,356363464,1.0374766849143879e-09,1731,11
15788_rep0,51,803799537,6.583175857107827e-09,591,4
1578_rep0,10,2984542202,7.653169483484328e-09,5928,3
15790_rep0,286,5280338150,5.0109033650998206e-09,3813,11
15791_rep0,7,193785844,2.059800306133253e-09,6252,2
15792_rep0,129,224371571,5.477652285215528e-09,2156,7
15793_rep0,3,4586149232,2.338270648746265e-09,7920,1
15794_rep0,726,1069131913,7.481516417353581e-09,3564,71
15795_rep0,19,929631037,1.7274543438597715e-09,6540,3
15796_rep0,1,410876211,8.155685470040424e-09,5054,6
15798_rep0,5,5812177783,3.522226304577446e-09,9251,2
15799_rep0,365,158416413,2.560441505162888e-09,863,9
1579_rep0,249,343231363,1.0110236005218904e-09,4186,2
15800_rep0,9,111238301,5.9564607625248414e-09,4268,2
15801_rep0,228,9590853288,1.3963706833070643e-09,5855,3
15802_rep0,1,2155302712,4.40303447553356e-09,388,1
15803_rep0,40,444788275,1.9060941839245807e-09,9706,2
15804_rep0,519,643985230,3.722780516097639e-09,8723,26
15805_rep0,29,1772280257,2.772422316941282e-09,1410,4
15806_rep0,92,3706273382,8.70266872946514e-09,6993,12
15807_rep0,5,239619018,1.1966838130606347e-09,3091,1
15808_rep0,102,249603560,6.24525619471681e-09,5908,9
1580_rep0,80,776577592,6.772475321179789e-09,3164,11
15810_rep0,569,1700414867,4.572587317296602e-09,9788,22
15811_rep0,21,623798750,1.9540678579966554e-09,315,2
15812_rep0,2,427290555,4.213531757697988e-09,1453,1
15813_rep0,37,2090412370,3.0664000655611782e-09,8612,9
15814_rep0,13,9977730279,9.7562422922225e-09,3183,6
15815_rep0,206,114754848,1.3124641798675403e-09,6930,5
15816_rep0,7,165089317,4.9067786876506495e-09,7866,2
15817_rep0,325,5999333478,2.1218387773243413e-09,2257,16
15818_rep0,1,2572399909,6.638057450113143e-09,6457,5
1581_rep0,4,1190982920,1.6520705416413511e-09,6911,2
15820_rep0,827,893447274,7.815815274254153e-09,4968,95
15822_rep0,145,4774609788,3.343342848261813e-09,771,8
15823_rep0,2,231371828,2.4870749684955237e-09,9313,1
15824_rep0,394,200050713,3.3993487181770543e-09,2746,16
15825_rep0,6,5503430918,2.628585845602305e-09,7347,4
15826_rep0,69,1193058700,8.25116967593516e-09,1677,11
15828_rep0,17,345438513,7.252379067480121e-09,9430,4
15829_rep0,721,2979244983,1.7655226405829604e-09,655,18
1582_rep0,445,5490020954,5.140161700124826e-09,1473,29
15830_rep0,3,6940456811,5.567040432522135e-09,6209,5
15831_rep0,127,143183482,2.3207928837268286e-09,3924,8
15832_rep0,4,132278011,8.934290005963842e-09,1127,6
15834_rep0,27,1805369246,3.7120090902477445e-09,4670,5
15835_rep0,422,491987301,2.804879114731784e-09,5405,17
15836_rep0,47,722504974,4.500062233419019e-09,6892,4
15838_rep0,263,3320241870,5.9119407616702715e-09,7645,11
15840_rep0,1,296114333,4.8474875255852235e-09,4108,5
15842_rep0,7,1407764466,6.368929014252295e-09,529,3
15843_rep0,301,688760516,1.5216500422687358e-09,9537,5
15844_rep0,165,544698730,9.581752821335016e-09,8243,23
15846_rep0,924,7687585001,3.980666640787233e-09,7454,41
15847_rep0,16,117899263,3.0212824346971157e-09,2620,2
15848_rep0,631,146888787,6.735284681065702e-09,2315,29
15849_rep0,23,7117568737,1.6467134408721832e-09,7770,1
1584_rep0,39,231977743,5.243970751357826e-09,4689,3
15850_rep0,110,2839569749,5.1698380781205325e-09,3425,6
15851_rep0,4,329358739,2.1647313363134235e-09,6709,3
15852_rep0,11,854206845,3.1710520473508515e-09,5531,4
15853_rep0,179,1321175822,2.440835260123269e-09,4563,7
15854_rep0,2,4904955084,7.697435359643113e-09,8793,5
15855_rep0,31,178233571,1.014615086188567e-09,1330,1
15856_rep0,31,205498156,8.419231219284538e-09,7133,4
15857_rep0,494,4239770538,1.1511264204388606e-09,3000,7
15858_rep0,5,1140736287,3.6017803066856236e-09,8506,2
15859_rep0,87,983764532,2.6666911045988892e-09,1579,7
1585_rep0,2,4740083643,2.272254005496218e-09,5424,1
15860_rep0,242,381341558,5.2623704546189724e-09,132,12
15861_rep0,9,2466261408,2.285343227808696e-09,9991,1
15862_rep0,42,6174878338,7.118488942817114e-09,4292,8
15864_rep0,61,101909930,3.913106814921362e-09,9188,7
15865_rep0,1,8863991533,2.860049336368833e-09,878,1
15866_rep0,345,2301592506,9.060144263702077e-09,5349,46
15868_rep0,3,598198435,5.825831782303126e-09,3743,5
1586_rep0,217,1029464043,7.141742921232441e-09,1108,16
15870_rep0,18,3938665065,4.26572220653563e-09,2054,2
15871_rep0,763,256891918,1.8144001738996202e-09,8050,32
15872_rep0,21,255559675,5.779408619361897e-09,9369,5
15873_rep0,579,3954747680,1.3388586245670175e-09,744,9
15874_rep0,3,1638557380,4.279581755995297e-09,5167,4
15875_rep0,102,595765744,1.8244075455790587e-09,4897,2
15876_rep0,205,472212375,3.8993421836814005e-09,3600,7
15877_rep0,13,2289656353,2.843558717060353e-09,6504,1
15878_rep0,36,8827945297,9.130343172943451e-09,2197,9
15879_rep0,2,102441197,1.2253887725016944e-09,7878,4
1587_rep0,12,895413301,1.683526271998816e-09,8957,2
15880_rep0,58,169050258,5.255826065094826e-09,6957,5
15881_rep0,1,6198342953,2.2671325198581942e-09,3128,2
15882_rep0,328,2478418684,7.157750970825751e-09,8682,18
15884_rep0,2,987502747,8.370687255449942e-09,270,6
15886_rep0,14,4223720638,3.605255561121042e-09,4154,3
15887_rep0,809,206511153,2.687352872505383e-09,5969,15
15888_rep0,1,179364215,3.181267606563936e-09,2495,1
15889_rep0,70,4890502472,2.4541925960920404e-09,7637,5
1588_rep0,4,396978617,8.389611153685581e-09,7664,7
15890_rep0,6,1312847589,7.635905680663728e-09,3243,5
15891_rep0,395,856731203,1.013307674129751e-09,6841,10
15892_rep0,126,328388261,6.787656597661198e-09,5388,11
15894_rep0,708,7138603356,5.151783034468645e-09,8936,58
15895_rep0,17,145962866,2.152346724160626e-09,1159,2
15896_rep0,431,118613699,9.634188681643998e-09,3931,47
15898_rep0,76,1986331738,3.975537201811914e-09,705,4
15899_rep0,4,546154313,2.99713164637574e-09,9408,4
1589_rep0,96,2589214451,1.144491837450124e-09,2440,2
158_rep0,466,3648609944,7.233449298165605e-09,8045,33
15900_rep0,9,686924819,4.8523726279520474e-09,8381,1
15901_rep0,261,1416294972,1.996737389652761e-09,1695,7
15902_rep0,1,3414508204,6.3324917751673635e-09,7316,2
15903_rep0,46,294330792,1.5163358217360215e-09,2788,1
15904_rep0,299,287272425,4.526154387295947e-09,1265,11
15906_rep0,53,1484118854,5.906248483103963e-09,4532,6
15907_rep0,1,719565212,1.4082457703206114e-09,5572,1
15908_rep0,16,493997267,8.945424524938192e-09,6716,2
15909_rep0,941,1796002522,1.1642121702470032e-09,3349,24
1590_rep0,22,6042819931,3.613336719063104e-09,6873,2
15910_rep0,2,8591892038,3.691643752339375e-09,7821,4
15911_rep0,167,132967879,2.795798526135182e-09,2293,7
15912_rep0,4,142480818,7.277987869711377e-09,2604,4
15913_rep0,110,6966845692,1.775759467223848e-09,7520,7
15914_rep0,23,2993937451,5.524232014738474e-09,1820,5
15915_rep0,617,344130056,2.318558261822838e-09,8274,12
15916_rep0,32,774576780,3.4266502616120276e-09,9611,3
15917_rep0,2,1187203795,2.631861790378083e-09,521,1
15918_rep0,181,5482585506,8.224457054078388e-09,6027,12
15919_rep0,11,201037306,1.0867224772098774e-09,4057,1
1591_rep0,539,164663908,2.6813384735926044e-09,3202,22
15920_rep0,86,232840079,7.80793816772996e-09,8004,6
15922_rep0,485,1029695376,3.362584177967399e-09,6320,20
15924_rep0,1,396665074,4.880077991908676e-09,4791,3
15926_rep0,8,6017076372,6.6466149095368155e-09,947,3
15927_rep0,243,164048302,1.5669201161315295e-09,9185,4
15928_rep0,6,115450479,4.1810257563597784e-09,5766,1
15929_rep0,342,9951116284,3.06330969776217e-09,4338,8
1592_rep0,13,114975052,5.792360345477084e-09,1658,1
15930_rep0,1,2077816801,9.790423468000404e-09,9931,6
15932_rep0,780,622134845,6.225194842973602e-09,1635,53
15933_rep0,18,1710722536,1.435784062148594e-09,8479,1
15934_rep0,138,3838499450,4.609438017995937e-09,3002,6
15936_rep0,153,240597256,3.7433135132080054e-09,4410,9
15937_rep0,2,3687057810,2.781430034882205e-09,5684,3
15938_rep0,851,1765074449,8.691845915952413e-09,245,72
1593_rep0,873,9915372503,1.335861199188015e-09,8427,14
15940_rep0,1,442482177,5.962207980545312e-09,8542,4
15941_rep0,55,2164101454,1.4071898917711295e-09,1543,2
15942_rep0,8,9640837906,4.377647270838053e-09,7175,3
15943_rep0,310,110786027,1.8993894110861502e-09,2959,4
15944_rep0,12,159018610,8.182183708949731e-09,2018,5
15945_rep0,217,5783662804,1.1019322277951422e-09,8086,3
15946_rep0,2,2669033120,3.494159430736362e-09,3702,3
15947_rep0,38,412901925,2.5572572667780152e-09,6373,2
15948_rep0,551,925070166,5.520093686194781e-09,5231,45
15949_rep0,22,1073196027,2.340526839209164e-09,4883,1
15950_rep0,97,4608760471,7.45519965180864e-09,9074,8
15951_rep0,3,223521900,1.7174940989104523e-09,991,3
15952_rep0,248,193215119,6.574692856176067e-09,7418,11
15953_rep0,10,5313830341,1.5693765375483811e-09,2657,2
15954_rep0,43,1235993960,5.038325386286711e-09,8201,2
15955_rep0,1,798733349,2.0664359803160227e-09,1902,1
15956_rep0,25,358623774,3.3116594527047916e-09,411,4
15957_rep0,457,3090388610,2.510865070110352e-09,9655,15
15958_rep0,4,6689100725,8.024791614461141e-09,3994,4
15959_rep0,80,137960065,1.0455438573339906e-09,6119,4
1595_rep0,153,428289112,1.8202960647288479e-09,7367,4
15960_rep0,3,127737400,4.6166662965617895e-09,8911,4
15961_rep0,120,8333111592,1.9354162657356147e-09,1211,1
15962_rep0,18,1868476300,6.082183920742142e-09,5644,4
15963_rep0,668,509611003,1.4823418577982655e-09,4450,21
15964_rep0,74,749539396,9.849561179610988e-09,3461,10
15965_rep0,1,1532971978,1.3000256842817835e-09,6672,1
15966_rep0,416,3198604832,4.103814890018085e-09,2356,16
15967_rep0,6,278271540,3.1483897258548403e-09,7729,2
15968_rep0,1,306771531,9.147447391268349e-09,6245,4
1596_rep0,308,622366185,3.890623315661524e-09,6189,22
15970_rep0,10,1359658634,3.810944830571999e-09,9471,2
15971_rep0,190,665033002,2.936728432121264e-09,613,9
15972_rep0,104,524970855,4.306540576762895e-09,1796,7
15974_rep0,583,7981033438,5.674110156163713e-09,2860,45
15976_rep0,996,152023706,3.5673970027674723e-09,7526,52
15977_rep0,15,7372517015,2.6923889709120367e-09,2539,2
15978_rep0,175,2742091041,8.644948625653831e-09,6779,25
1597_rep0,8,1712258943,2.8499391856179e-09,3905,2
15980_rep0,7,822911318,7.0510340123667115e-09,4633,3
15981_rep0,284,1273143754,1.6903388388548003e-09,5441,5
15982_rep0,1,5088496814,5.403070777844044e-09,1086,2
15983_rep0,50,185060211,2.225827227387795e-09,9018,1
15984_rep0,19,213311979,5.126600282334865e-09,3065,5
15985_rep0,742,4399794228,2.1829849560522847e-09,7049,17
15986_rep0,3,1099577746,6.923156474088014e-09,1340,2
15987_rep0,130,947476606,1.602029559660956e-09,8726,9
15988_rep0,362,368466675,7.632543983827289e-09,9752,31
1598_rep0,54,3852201452,9.109742671369128e-09,9449,11
15990_rep0,63,6394400973,3.2597249823549396e-09,5867,5
15991_rep0,1,175872493,2.374434492046216e-09,4207,1
15992_rep0,41,105738024,6.4226294170234605e-09,807,4
15993_rep0,1,9199640552,1.5089230917642223e-09,9277,1
15994_rep0,229,2216961937,4.715952136682088e-09,5009,10
15996_rep0,5,577420972,4.0145195051998085e-09,6576,4
15997_rep0,91,1574752399,2.995813576705725e-09,3518,7
15998_rep0,29,4078061207,9.321085538563668e-09,7980,6
15999_rep0,510,266056786,1.278716926338504e-09,2143,10
1599_rep0,1,249134281,1.228156522329115e-09,674,2
159_rep0,26,314568043,1.662594864114205e-09,2049,2
16000_rep0,4,269869694,5.590307164897946e-09,8617,2
16001_rep0,82,4176518711,2.291158919502649e-09,1467,2
16002_rep0,26,1551630907,7.3649262971091665e-09,6944,3
16003_rep0,467,564125930,1.7548092484494547e-09,3189,7
16004_rep0,45,464069736,8.285243877093608e-09,4178,8
16006_rep0,254,8982762892,3.4520295786993994e-09,323,6
16007_rep0,10,104244024,2.6124950904936644e-09,9800,1
16008_rep0,406,172209803,5.837375453712028e-09,5152,45
1600_rep0,61,241228742,6.408156712660304e-09,8363,5
16010_rep0,72,2432968328,4.473306012447905e-09,9308,2
16011_rep0,1,372907870,1.8761583047808e-09,757,1
16012_rep0,17,936193009,3.665001139159501e-09,2249,3
16013_rep0,653,1076073507,2.8161162653499646e-09,7855,29
16014_rep0,3,4455326628,8.881002012012043e-09,3625,5
16016_rep0,8,188996261,9.730808520807884e-09,642,6
16017_rep0,319,5152725978,1.328107464898687e-09,9424,6
16018_rep0,1,1245928395,4.155503090670555e-09,3918,2
16019_rep0,56,813110512,3.0821444772288246e-09,6196,5
1601_rep0,1,3698671663,1.5123351959132423e-09,1750,2
16020_rep0,877,321974104,4.560761450780605e-09,7339,31
16021_rep0,13,2801986245,1.9774650852703794e-09,2736,2
16022_rep0,156,7280622089,6.159550142193231e-09,8435,21
16024_rep0,94,120569449,3.383727623584926e-09,3228,4
16025_rep0,3,7792890346,2.480198850118279e-09,6905,2
16026_rep0,534,1954163062,7.856912721796542e-09,2434,54
16027_rep0,21,537342953,1.0585830098991882e-09,7651,1
16028_rep0,2,649720525,6.7183640893483775e-09,8987,3
1602_rep0,346,1767394975,4.705395071561499e-09,7256,20
16030_rep0,12,3610061468,4.932833587620775e-09,5414,2
16031_rep0,210,311168014,2.0923894095808292e-09,4680,6
16032_rep0,65,282319125,7.2016983650569e-09,1871,6
16033_rep0,1,3276060981,1.6695189740564886e-09,8251,1
16034_rep0,371,1510144511,5.2879913587651115e-09,2630,16
16036_rep0,3,521657983,3.6436856920998876e-09,6012,6
16037_rep0,134,1896719331,2.658991759278528e-09,4121,4
16038_rep0,20,8136095834,8.460081437607049e-09,9549,7
16039_rep0,760,125906107,1.1349540779588475e-09,536,7
1603_rep0,5,648581928,2.041162850348875e-09,2809,1
16040_rep0,28,135077497,4.252971800212318e-09,4554,2
16041_rep0,498,6604332773,1.8358345448158774e-09,5520,21
16042_rep0,5,3158112252,5.743359499599217e-09,1320,2
16043_rep0,88,363022601,1.3472651676811274e-09,8784,1
16044_rep0,224,789054470,9.032556107351217e-09,7758,17
16046_rep0,40,5382037479,3.857656068525675e-09,6702,2
16047_rep0,1,197338456,2.8742801592874034e-09,3412,2
16048_rep0,601,228291941,3.928669323299741e-09,9983,21
16049_rep0,25,4667916209,3.032906584247368e-09,120,2
1604_rep0,3,441651412,4.023586154819681e-09,3832,1
16050_rep0,107,1050181773,9.52042225625876e-09,5791,32
16052_rep0,11,417966864,6.285837764074932e-09,2986,5
16053_rep0,196,2727525306,1.527580155277796e-09,7128,8
16054_rep0,1,5710364356,4.816718359698825e-09,1574,1
16055_rep0,35,155695912,2.0115131691292022e-09,8492,2
16056_rep0,1,109197726,7.726101557688201e-09,6343,3
16057_rep0,48,9412901619,1.0014847213240675e-09,3751,1
16058_rep0,7,2196813622,3.218781413497331e-09,8057,1
16059_rep0,276,452942385,2.4255951808128443e-09,2065,19
1605_rep0,136,2161184133,2.9890544233689234e-09,6272,8
16060_rep0,171,632392158,5.189164546950418e-09,883,8
16061_rep0,2,1738792178,2.1368276144966724e-09,9202,1
16062_rep0,968,3776339032,6.8370433023448155e-09,4779,61
16064_rep0,686,254089472,8.552549245506753e-09,3678,117
16065_rep0,16,3893508678,1.133186994063916e-09,6426,1
16066_rep0,123,1671333860,3.529213458487552e-09,1964,6
16067_rep0,3,613000433,2.721536559822182e-09,8111,1
16068_rep0,6,434817699,5.369356495531824e-09,9139,2
16069_rep0,384,2126786350,2.239798355060069e-09,975,9
1606_rep0,18,9610227954,9.341998567044969e-09,572,5
16070_rep0,1,9810517256,7.00714429635176e-09,5243,7
16072_rep0,1,162003426,3.851652508774176e-09,193,4
16073_rep0,47,5891764291,2.905696813452266e-09,9901,2
16074_rep0,10,2619926817,9.24501646983612e-09,4386,8
16075_rep0,269,405329603,1.1997318248121811e-09,5738,2
16076_rep0,78,876934800,5.708821951088034e-09,7190,9
16078_rep0,444,4861780218,4.33295283953309e-09,8603,21
16079_rep0,27,235778952,1.7862407598376703e-09,1530,2
1607_rep0,766,110499895,1.2758578228811536e-09,9503,14
16080_rep0,35,203574824,4.750276330502651e-09,5622,2
16081_rep0,2,5599193313,2.021887516218649e-09,4501,1
16082_rep0,200,1173064638,6.46927579515638e-09,8857,26
16083_rep0,12,758019234,1.498052923009191e-09,1238,1
16084_rep0,3,351646750,9.430978733109411e-09,2419,9
16085_rep0,99,3030022299,1.263814098051257e-09,7714,2
16087_rep0,565,140704898,2.960840248950605e-09,6610,14
16088_rep0,14,129833286,6.872302591421489e-09,8150,4
16089_rep0,828,8470499774,1.613887825075328e-09,1925,12
1608_rep0,31,159502344,5.1381006923163574e-09,5487,4
16090_rep0,2,1838329826,5.088864824476322e-09,7392,4
16091_rep0,149,501358524,2.1991869691361195e-09,2712,3
16092_rep0,336,708999707,3.2212246568814102e-09,4009,24
16093_rep0,8,1449946440,2.402808598583386e-09,6056,3
16094_rep0,60,3381586036,7.542512744768674e-09,472,6
16095_rep0,1,294208261,1.0354501726061695e-09,9641,2
16097_rep0,236,3464172872,2.575807200191857e-09,3271,6
16098_rep0,1,1383587192,8.123151866586047e-09,7588,9
1609_rep0,492,5797786339,2.178102640164924e-09,4597,16
160_rep0,2,279414726,4.91644679171434e-09,4190,4
16100_rep0,471,554409569,7.368101612359325e-09,1035,41
16101_rep0,30,2033287222,1.7377851108060492e-09,9040,2
16102_rep0,84,7557180423,5.455710943000867e-09,4608,3
16103_rep0,5,115809402,2.368142111958238e-09,5497,1
16104_rep0,141,144113103,8.756280607240577e-09,9534,20
16106_rep0,805,2892634299,3.770989110747842e-09,6259,30
16107_rep0,19,335584740,2.7610230026787832e-09,3826,3
16108_rep0,1,838358475,4.429910235914702e-09,2838,1
16109_rep0,62,1296938450,1.876968496028641e-09,7286,1
1610_rep0,5,2674435483,6.9387974146473785e-09,9069,8
16110_rep0,6,4994870436,6.033507720842657e-09,1741,2
16111_rep0,353,181666540,1.3905576840790751e-09,8353,4
16112_rep0,2,209161766,6.1479760547568465e-09,5025,4
16113_rep0,162,4313855292,1.4664883664864262e-09,5059,4
16114_rep0,15,1121385851,4.666513342786559e-09,868,2
16115_rep0,920,966326400,1.914746590250609e-09,9264,23
16116_rep0,51,388223351,4.129527874414655e-09,7927,4
16117_rep0,1,2508820027,3.128765354054974e-09,2167,4
16118_rep0,292,6068830166,9.911470593387888e-09,6551,25
16119_rep0,7,166907866,1.291902554126537e-09,3572,1
1611_rep0,87,413520139,1.598415829049088e-09,1064,2
16120_rep0,185,100019173,4.985229710724575e-09,1404,9
16121_rep0,11,8701379810,2.0884584807619528e-09,8709,1
16122_rep0,33,2343784147,6.505277935448788e-09,3077,5
16123_rep0,2,479350376,1.5861261651431543e-09,6988,1
16124_rep0,23,586894516,7.975751347906956e-09,5844,7
16125_rep0,633,1600717132,1.05196561378865e-09,4260,5
16126_rep0,4,4012269132,3.2914866923769102e-09,9699,3
16127_rep0,113,261748059,2.5262480770456957e-09,377,4
16128_rep0,234,263405785,3.3048061613686507e-09,5484,10
16129_rep0,8,4036580643,2.539506132234186e-09,4591,1
1612_rep0,241,923719637,7.615460489557571e-09,2513,20
16130_rep0,41,1612206838,7.936909540622396e-09,9052,10
16132_rep0,29,484428557,6.532087705577656e-09,2499,5
16133_rep0,478,2369258924,1.5943404365302863e-09,7567,8
16134_rep0,5,8805888805,4.9605849246521765e-09,3298,1
16135_rep0,85,101191131,2.080619812633865e-09,6815,4
16136_rep0,3,167919944,9.963492957671091e-09,8370,10
16138_rep0,19,2527593708,4.113745253277774e-09,7268,7
16139_rep0,791,391021974,3.113526503970767e-09,2825,41
16140_rep0,63,976850979,4.690677687399509e-09,3847,4
16141_rep0,1,1133270676,1.9226367105047182e-09,6286,1
16142_rep0,357,4364536455,6.1249038672525526e-09,577,23
16144_rep0,160,182766486,6.003682536905971e-09,3559,13
16145_rep0,2,5026481548,1.3853395652216843e-09,6534,4
16146_rep0,906,1306631922,4.448163401528126e-09,2179,36
16148_rep0,1,339230800,3.752623299182305e-09,9238,3
16149_rep0,52,2923266036,2.750469908228673e-09,847,1
1614_rep0,42,4597371899,3.2523770877843847e-09,3304,3
16150_rep0,7,7071375612,8.791721117727507e-09,5086,4
16151_rep0,295,145844654,1.1846048120139763e-09,5047,3
16153_rep0,183,7603037066,2.35643441067772e-09,9710,7
16154_rep0,2,2047935463,7.406261761332985e-09,4243,3
16155_rep0,32,558555736,1.744946450257794e-09,5831,1
16156_rep0,644,683870966,8.092108012909098e-09,7009,61
16157_rep0,23,1398662606,1.104537406701013e-09,3104,1
16158_rep0,114,3505811142,3.487223676946636e-09,8687,6
16159_rep0,4,304998479,2.5862312802331144e-09,1378,1
1615_rep0,1,222851839,2.3798026204114567e-09,6820,5
16160_rep0,16,290795675,7.512105885072881e-09,4844,6
16161_rep0,697,3341393542,1.0300454752727835e-09,5270,10
16162_rep0,2,1434330937,3.23699240205207e-09,953,1
16163_rep0,124,701555001,2.412023140024008e-09,9112,4
16164_rep0,380,497632605,5.067983913375721e-09,8128,29
16165_rep0,6,1825196954,2.1878541048741834e-09,1976,2
16166_rep0,67,8419336478,6.906437231825155e-09,6408,7
16167_rep0,1,129013938,1.6199699227668883e-09,3666,1
16168_rep0,48,139035583,4.0407081273296835e-09,1504,3
16169_rep0,1,6742661911,2.948902220430512e-09,8581,2
1616_rep0,629,193278849,3.559356059183509e-09,407,24
16170_rep0,272,2998298396,9.467151117122298e-09,2921,32
16171_rep0,10,347864218,1.2700010684722083e-09,7213,1
16172_rep0,4,752607301,6.435941622000724e-09,5725,4
16173_rep0,77,1164372345,1.4919068933648718e-09,4369,2
16174_rep0,28,5563931115,4.7681754612009335e-09,9913,4
16175_rep0,436,202351414,2.031929151559047e-09,210,6
16176_rep0,2,232975568,4.354473497180152e-09,6632,1
16178_rep0,12,1006753568,5.685402050114897e-09,7692,1
1617_rep0,23,5318776443,2.698475561330781e-09,9725,1
16180_rep0,98,402432147,9.290272667482188e-09,1254,9
16181_rep0,3,2600444625,1.2043337096400442e-09,8869,1
16182_rep0,557,5854607533,3.836121696124803e-09,4484,30
16183_rep0,21,161025585,2.890529358827105e-09,5610,3
16184_rep0,844,111422243,7.033549489858551e-09,9614,52
16186_rep0,150,2103900319,5.341685627287728e-09,6083,7
16187_rep0,2,430263396,2.230608503070425e-09,4031,3
16188_rep0,8,608460759,3.5427486274102463e-09,2700,3
16189_rep0,332,1659408284,2.734857604262674e-09,7375,11
1618_rep0,111,1240458089,8.625600306787259e-09,4248,15
16190_rep0,1,3870092522,8.507910185894051e-09,1937,9
16192_rep0,1,242284713,6.803244196658218e-09,562,7
16193_rep0,66,3749327868,1.6303202310536916e-09,9571,2
16194_rep0,5,1728304810,5.210550485116311e-09,4094,1
16195_rep0,378,628395779,2.147893799158592e-09,5991,12
16196_rep0,132,447684721,3.2031058791865646e-09,7477,5
16198_rep0,751,9311445289,7.757366060226266e-09,8240,53
1619_rep0,4,802038130,1.1235855265564781e-09,5836,1
161_rep0,171,3239738942,2.098705628002207e-09,5932,9
16200_rep0,503,154585662,4.7986422943540785e-09,3390,23
16201_rep0,28,5668001138,2.001570221755113e-09,6675,2
16202_rep0,90,2710372179,6.318387582411351e-09,2329,17
16204_rep0,9,903010723,9.484035878472476e-09,8767,6
16205_rep0,221,1038014215,1.2567052056031714e-09,1308,4
16206_rep0,1,4619002742,3.949289605800414e-09,5538,3
16207_rep0,39,225838250,3.0451813568590263e-09,4567,3
16208_rep0,24,195926062,3.873269828541263e-09,8518,4
16209_rep0,608,5342062165,2.8893655096091307e-09,1595,20
1620_rep0,11,357133524,7.0669628866434785e-09,7013,7
16210_rep0,4,1201850014,8.988565245657848e-09,7101,4
16211_rep0,109,784298709,1.233912374817363e-09,2964,1
16212_rep0,193,358709493,5.767024452155575e-09,4297,15
16214_rep0,34,6535071991,4.231948119101374e-09,109,3
16215_rep0,2,133622180,1.828945570913574e-09,9967,3
16216_rep0,49,124972587,8.504478924743882e-09,5333,7
16218_rep0,280,1885295805,3.629760920575333e-09,9223,16
16219_rep0,7,518374991,2.6460431388648063e-09,909,1
1621_rep0,179,3079375190,1.6865261386753335e-09,3111,3
16220_rep0,2,723748965,5.315378222419572e-09,2049,1
16221_rep0,168,1492221918,2.2626331566152395e-09,8046,2
16222_rep0,15,3240835909,7.1746697575310935e-09,3768,4
16223_rep0,959,279359618,1.661265206536525e-09,6356,28
16224_rep0,81,314461718,4.957335080005427e-09,9783,5
16225_rep0,4,3649331443,2.1002747162909033e-09,311,3
16226_rep0,462,1355773715,6.69079715646981e-09,5934,36
16227_rep0,26,657339364,1.5421942022568704e-09,4190,2
16228_rep0,1,540750870,7.895371673963145e-09,3167,4
1622_rep0,2,6683115118,5.415190645896761e-09,8704,3
16230_rep0,10,7848894669,3.3700863601579702e-09,1489,2
16231_rep0,259,121469006,2.4672531412751813e-09,8644,9
16232_rep0,6,150477650,6.182759655299485e-09,6462,5
16233_rep0,400,7357848447,1.4582828525348581e-09,3642,8
16234_rep0,1,2834880469,4.537261416216238e-09,7843,2
16236_rep0,658,818048235,4.1714413201997884e-09,784,44
16237_rep0,17,1253835806,3.097233144975399e-09,9330,3
16238_rep0,118,5191329620,9.680011657997984e-09,4936,16
16239_rep0,3,190357018,1.322752616584615e-09,5129,1
1623_rep0,31,137909730,2.22084939818609e-09,1391,3
16240_rep0,313,220217546,8.845191925526148e-09,1652,32
16241_rep0,8,4502466893,1.1665284672059755e-09,8423,2
16242_rep0,56,1088696814,3.682942176336127e-09,2753,1
16243_rep0,1,947433354,2.826918117963265e-09,7351,4
16244_rep0,13,375162452,4.454954545656241e-09,6174,5
16245_rep0,887,2448387482,1.866490594221639e-09,3891,13
16246_rep0,2,6361836322,5.866367988642197e-09,9445,3
16247_rep0,159,173448146,1.4302328164461894e-09,668,2
16248_rep0,3,105350231,3.434012220129404e-09,4692,1
16249_rep0,93,9080557400,2.601962283367035e-09,5431,4
1624_rep0,1,127834124,9.167972098969618e-09,3545,5
16250_rep0,22,2277063438,8.31701956419267e-09,1124,6
16251_rep0,529,469515744,1.0840271901417202e-09,8970,9
16252_rep0,37,567708637,7.326971049547361e-09,7678,11
16253_rep0,2,1561060008,1.747609357922329e-09,2455,3
16254_rep0,214,4206570163,5.611373063800952e-09,6878,17
16255_rep0,12,271890300,2.302539788020759e-09,3206,1
16256_rep0,33,268048876,9.36738546268642e-09,7246,5
16257_rep0,1,4107404858,1.2835354200429646e-09,2877,4
16258_rep0,188,1584322252,3.998047850224312e-09,8315,7
